,Barrels,Number of Breweries,Total Barrels,Taxable Removals,Total Exported,Year
90,"1,000,001 to 1,999,999 Barrels",4,4999263.95,4994536.9,47250.18,2016
91,"500,001 to 1,000,000 Barrels",6,4293996.9,4014943.39,4748.99,2016
92,"100,001 to 500,000 Barrels",45,10469048.22,8618323.450000003,276289.46,2016
93,"60,001 to 100,000 Barrels",38,3052311.4800000004,2395062.26,48970.93,2016
94,"30,001 to 60,000 Barrels",53,2329947.35,2069205.9399999995,85136.87,2016
95,"15,001 to 30,000 Barrels",75,1577515.3899999997,1341223.9100000001,37302.6,2016
96,"7,501 to 15,000 Barrels",148,1550640.4199999995,1351541.9599999997,11813.32,2016
97,"1,001 to 7,500 Barrels",935,2461722.990000003,2282897.140000001,13608.25,2016
98,"1 to 1,000 Barrels",3283,993337.9200000032,864097.2000000007,889.04,2016
99,"6,000,001 Barrels and Over",15,135615117.47,124049346.77,5331930.359999999,2017
100,"2,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504.88,2017
101,"1,000,001 to 1,999,999 Barrels",4,4868564.08,4897090.56,4110.4,2017
102,"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410.33,2017
103,"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283.84,2017
104,"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505.37,2017
105,"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479.68,2017
106,"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491.22,2017
107,"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874.6,2017
108,"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294.07,2017
109,"1 to 1,000 Barrels",3646,1073977.86,1003361.14,790.59,2017
110,"6,000,001 Barrels and Over",15,131336734.02000001,124471154.46999997,5749122.46,2018
111,"2,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605.51,2018
112,"1,000,001 to 1,999,999 Barrels",5,6076447.34,6110085.42,3062.55,2018
113,"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188.34,2018
114,"100,001 to 500,000 Barrels",42,8777286.219999999,7630983.189999999,170814.06,2018
115,"60,001 to 100,000 Barrels",40,3120044.8699999996,4465192.179999999,72115.4,2018
116,"30,001 to 60,000 Barrels",53,2170405.47,2381170.5400000005,43487.3,2018
